# 造序注音 builtin lexicon
# 由本專案人工建立與維護；等級為人工判斷的常用程度（5 最常用），不是語料統計。
# 欄位：詞<TAB>等級<TAB>讀音（選填，音節以空白分隔；多音字必填）
唱	3	ㄔㄤˋ
門	4	ㄇㄣˊ
問	4	ㄨㄣˋ
文	4	ㄨㄣˊ
聞	3	ㄨㄣˊ
題	3	ㄊㄧˊ
提	3	ㄊㄧˊ
體	3	ㄊㄧˇ
替	3	ㄊㄧˋ
工	4	ㄍㄨㄥ
公	4	ㄍㄨㄥ
功	3	ㄍㄨㄥ
攻	2	ㄍㄨㄥ
宮	2	ㄍㄨㄥ
供	2	ㄍㄨㄥ
共	3	ㄍㄨㄥˋ
期	4	ㄑㄧˊ
其	4	ㄑㄧˊ
奇	3	ㄑㄧˊ
騎	3	ㄑㄧˊ
旗	2	ㄑㄧˊ
氣	4	ㄑㄧˋ
器	3	ㄑㄧˋ
汽	3	ㄑㄧˋ
起	4	ㄑㄧˇ
企	2	ㄑㄧˋ
路	4	ㄌㄨˋ
錄	3	ㄌㄨˋ
陸	3	ㄌㄨˋ
鹿	2	ㄌㄨˋ
露	2	ㄌㄨˋ
記	4	ㄐㄧˋ
紀	3	ㄐㄧˋ
計	3	ㄐㄧˋ
技	3	ㄐㄧˋ
季	3	ㄐㄧˋ
寄	3	ㄐㄧˋ
際	3	ㄐㄧˋ
繼	2	ㄐㄧˋ
既	2	ㄐㄧˋ
機	4	ㄐㄧ
雞	3	ㄐㄧ
基	3	ㄐㄧ
積	3	ㄐㄧ
績	3	ㄐㄧ
擊	2	ㄐㄧˊ
幾	4	ㄐㄧˇ
己	3	ㄐㄧˇ
擠	2	ㄐㄧˇ
為	5	ㄨㄟˋ
位	4	ㄨㄟˋ
未	3	ㄨㄟˋ
味	3	ㄨㄟˋ
衛	2	ㄨㄟˋ
喂	2	ㄨㄟˋ
胃	2	ㄨㄟˋ
謂	2	ㄨㄟˋ
為	4	ㄨㄟˊ
圍	3	ㄨㄟˊ
微	3	ㄨㄟˊ
危	3	ㄨㄟˊ
其	2	ㄐㄧ
行	4	ㄒㄧㄥˊ
行	3	ㄏㄤˊ
形	3	ㄒㄧㄥˊ
型	3	ㄒㄧㄥˊ
星	3	ㄒㄧㄥ
興	3	ㄒㄧㄥˋ
性	4	ㄒㄧㄥˋ
姓	3	ㄒㄧㄥˋ
幸	3	ㄒㄧㄥˋ
檢查	4	ㄐㄧㄢˇ ㄔㄚˊ
檢察	3	ㄐㄧㄢˇ ㄔㄚˊ
檢察官	3	ㄐㄧㄢˇ ㄔㄚˊ ㄍㄨㄢ
健康	4	ㄐㄧㄢˋ ㄎㄤ
醫院	4	ㄧ ㄩㄢˋ
醫生	4	ㄧ ㄕㄥ
事件	4	ㄕˋ ㄐㄧㄢˋ
識見	1	ㄕˋ ㄐㄧㄢˋ
研發	3	ㄧㄢˊ ㄈㄚ
產品	4	ㄔㄢˇ ㄆㄧㄣˇ
列印	3	ㄌㄧㄝˋ ㄧㄣˋ
文件	4	ㄨㄣˊ ㄐㄧㄢˋ
旅行	4	ㄌㄩˇ ㄒㄧㄥˊ
履行	3	ㄌㄩˇ ㄒㄧㄥˊ
日本	4	ㄖˋ ㄅㄣˇ
安全	4	ㄢ ㄑㄩㄢˊ
颱風	3	ㄊㄞˊ ㄈㄥ
注意	4	ㄓㄨˋ ㄧˋ
民眾	3	ㄇㄧㄣˊ ㄓㄨㄥˋ
心得	3	ㄒㄧㄣ ㄉㄜˊ
讀書	4	ㄉㄨˊ ㄕㄨ
公式	3	ㄍㄨㄥ ㄕˋ
公事	3	ㄍㄨㄥ ㄕˋ
攻勢	2	ㄍㄨㄥ ㄕˋ
工事	2	ㄍㄨㄥ ㄕˋ
公視	2	ㄍㄨㄥ ㄕˋ
宮室	1	ㄍㄨㄥ ㄕˋ
公示	2	ㄍㄨㄥ ㄕˋ
價格	4	ㄐㄧㄚˋ ㄍㄜˊ
餐廳	4	ㄘㄢ ㄊㄧㄥ
報名	3	ㄅㄠˋ ㄇㄧㄥˊ
實驗	3	ㄕˊ ㄧㄢˋ
實驗室	3	ㄕˊ ㄧㄢˋ ㄕˋ
政策	4	ㄓㄥˋ ㄘㄜˋ
經濟	4	ㄐㄧㄥ ㄐㄧˋ
劇情	3	ㄐㄩˋ ㄑㄧㄥˊ
電影	4	ㄉㄧㄢˋ ㄧㄥˇ
密碼	3	ㄇㄧˋ ㄇㄚˇ
意見	4	ㄧˋ ㄐㄧㄢˋ
異見	1	ㄧˋ ㄐㄧㄢˋ
請假	3	ㄑㄧㄥˇ ㄐㄧㄚˋ
生病	3	ㄕㄥ ㄅㄧㄥˋ
駕駛	3	ㄐㄧㄚˋ ㄕˇ
成績	4	ㄔㄥˊ ㄐㄧ
乘積	2	ㄔㄥˊ ㄐㄧ
考試	4	ㄎㄠˇ ㄕˋ
交通	4	ㄐㄧㄠ ㄊㄨㄥ
城市	4	ㄔㄥˊ ㄕˋ
程式	3	ㄔㄥˊ ㄕˋ
成事	1	ㄔㄥˊ ㄕˋ
誠實	3	ㄔㄥˊ ㄕˊ
興趣	4	ㄒㄧㄥˋ ㄑㄩˋ
歷史	4	ㄌㄧˋ ㄕˇ
資源	4	ㄗ ㄩㄢˊ
休息	4	ㄒㄧㄡ ㄒㄧˊ
修習	1	ㄒㄧㄡ ㄒㄧˊ
成長	4	ㄔㄥˊ ㄓㄤˇ
營收	2	ㄧㄥˊ ㄕㄡ
畫家	3	ㄏㄨㄚˋ ㄐㄧㄚ
煮飯	3	ㄓㄨˇ ㄈㄢˋ
主犯	2	ㄓㄨˇ ㄈㄢˋ
廚房	3	ㄔㄨˊ ㄈㄤˊ
媽媽	4	ㄇㄚ ㄇㄚ
爸爸	4	ㄅㄚˋ ㄅㄚˋ
運動	4	ㄩㄣˋ ㄉㄨㄥˋ
公園	4	ㄍㄨㄥ ㄩㄢˊ
公元	2	ㄍㄨㄥ ㄩㄢˊ
思考	4	ㄙ ㄎㄠˇ
問題	5	ㄨㄣˋ ㄊㄧˊ
仔細	3	ㄗˇ ㄒㄧˋ
加班	3	ㄐㄧㄚ ㄅㄢ
半夜	3	ㄅㄢˋ ㄧㄝˋ
今天	5	ㄐㄧㄣ ㄊㄧㄢ
明天	5	ㄇㄧㄥˊ ㄊㄧㄢ
昨天	4	ㄗㄨㄛˊ ㄊㄧㄢ
下次	3	ㄒㄧㄚˋ ㄘˋ
天氣	4	ㄊㄧㄢ ㄑㄧˋ
書店	3	ㄕㄨ ㄉㄧㄢˋ
衣服	4	ㄧ ㄈㄨˊ
眼淚	3	ㄧㄢˇ ㄌㄟˋ
光臨	2	ㄍㄨㄤ ㄌㄧㄣˊ
歡迎	4	ㄏㄨㄢ ㄧㄥˊ
功課	3	ㄍㄨㄥ ㄎㄜˋ
趕快	3	ㄍㄢˇ ㄎㄨㄞˋ
座位	3	ㄗㄨㄛˋ ㄨㄟˋ
學校	4	ㄒㄩㄝˊ ㄒㄧㄠˋ
走路	3	ㄗㄡˇ ㄌㄨˋ
開會	3	ㄎㄞ ㄏㄨㄟˋ
下午	4	ㄒㄧㄚˋ ㄨˇ
匯款	2	ㄏㄨㄟˋ ㄎㄨㄢˇ
銀行	4	ㄧㄣˊ ㄏㄤˊ
畫筆	2	ㄏㄨㄚˋ ㄅㄧˇ
開始	5	ㄎㄞ ㄕˇ
記住	3	ㄐㄧˋ ㄓㄨˋ
變化	4	ㄅㄧㄢˋ ㄏㄨㄚˋ
最近	4	ㄗㄨㄟˋ ㄐㄧㄣˋ
計畫	4	ㄐㄧˋ ㄏㄨㄚˋ
計劃	3	ㄐㄧˋ ㄏㄨㄚˋ
檢討	3	ㄐㄧㄢˇ ㄊㄠˇ
重新	4	ㄔㄨㄥˊ ㄒㄧㄣ
記得	4	ㄐㄧˋ ㄉㄜ˙
市場	4	ㄕˋ ㄔㄤˇ
公司	5	ㄍㄨㄥ ㄙ
規定	4	ㄍㄨㄟ ㄉㄧㄥˋ
適用	3	ㄕˋ ㄩㄥˋ
試用	3	ㄕˋ ㄩㄥˋ
員工	4	ㄩㄢˊ ㄍㄨㄥ
效能	3	ㄒㄧㄠˋ ㄋㄥˊ
電腦	4	ㄉㄧㄢˋ ㄋㄠˇ
程度	4	ㄔㄥˊ ㄉㄨˋ
英文	4	ㄧㄥ ㄨㄣˊ
工作	5	ㄍㄨㄥ ㄗㄨㄛˋ
台北	4	ㄊㄞˊ ㄅㄟˇ
目前	4	ㄇㄨˋ ㄑㄧㄢˊ
真相	3	ㄓㄣ ㄒㄧㄤˋ
事情	5	ㄕˋ ㄑㄧㄥˊ
原因	4	ㄩㄢˊ ㄧㄣ
需要	5	ㄒㄩ ㄧㄠˋ
滿意	4	ㄇㄢˇ ㄧˋ
滿溢	1	ㄇㄢˇ ㄧˋ
品質	4	ㄆㄧㄣˇ ㄓˊ
已經	5	ㄧˇ ㄐㄧㄥ
樓梯	3	ㄌㄡˊ ㄊㄧ
紀錄	3	ㄐㄧˋ ㄌㄨˋ
記錄	3	ㄐㄧˋ ㄌㄨˋ
世界	4	ㄕˋ ㄐㄧㄝˋ
打破	3	ㄉㄚˇ ㄆㄛˋ
比賽	4	ㄅㄧˇ ㄙㄞˋ
必須	4	ㄅㄧˋ ㄒㄩ
必需	3	ㄅㄧˋ ㄒㄩ
完成	4	ㄨㄢˊ ㄔㄥˊ
語氣	3	ㄩˇ ㄑㄧˋ
說話	4	ㄕㄨㄛ ㄏㄨㄚˋ
好運	3	ㄏㄠˇ ㄩㄣˋ
餅乾	3	ㄅㄧㄥˇ ㄍㄢ
盒子	3	ㄏㄜˊ ㄗ˙
手機	4	ㄕㄡˇ ㄐㄧ
出門	3	ㄔㄨ ㄇㄣˊ
門口	3	ㄇㄣˊ ㄎㄡˇ
題目	4	ㄊㄧˊ ㄇㄨˋ
提出	4	ㄊㄧˊ ㄔㄨ
